,neuron_1,neuron_2,rmse
0,8,8,593078.3166882666
1,8,16,556946.4435935292
2,8,32,840948.0397191496
3,8,64,758481.4690713059
4,8,128,1020139.7268684014
5,16,8,653835.9752283514
6,16,16,498026.1847285025
7,16,32,900344.2522448206
8,16,64,996489.9297188497
9,16,128,979897.0422793829
10,32,8,566215.9335400142
11,32,16,872807.2588417087
12,32,32,978525.6682399743
13,32,64,985851.4604591393
14,32,128,979748.6883056295
15,64,8,589607.1326703146
16,64,16,981600.3224908321
17,64,32,986941.3190538166
18,64,64,968283.1340493269
19,64,128,982944.4194458893
20,128,8,992723.6060850944
21,128,16,987452.918518401
22,128,32,972989.4816094373
23,128,64,974634.6862748414
24,128,128,975179.5835313528
