,neuron_1,neuron_2,rmse
0,16,1,855002.4371895024
1,16,2,855002.4371895024
2,16,3,696873.0464878902
3,16,4,635048.2411339281
4,16,5,666938.408494046
5,16,6,577114.8401193792
6,16,7,517105.75793599663
7,16,8,582130.0080797774
8,16,9,466444.8263736569
9,16,10,669913.4918147206
10,17,1,855002.4371895024
11,17,2,855002.4371895024
12,17,3,724236.8639066775
13,17,4,517865.9089083417
14,17,5,733537.0329993508
15,17,6,603594.2880260726
16,17,7,577748.2742211962
17,17,8,589772.4726962998
18,17,9,595460.2650237342
19,17,10,503945.5706859766
20,18,1,734836.9881191974
21,18,2,855002.4371895024
22,18,3,855002.4371895024
23,18,4,567506.6147907802
24,18,5,646884.3654522349
25,18,6,589507.7917315032
26,18,7,628471.5220167155
27,18,8,513502.5044025828
28,18,9,495450.8735660542
29,18,10,511825.8690302487
30,19,1,740998.1061759294
31,19,2,855002.4371895024
32,19,3,855002.4371895024
33,19,4,743608.3763349265
34,19,5,716221.1777071197
35,19,6,583114.3064812628
36,19,7,542846.5871653967
37,19,8,589713.2880862298
38,19,9,554625.5759872365
39,19,10,509911.6467879236
40,20,1,742627.4458739167
41,20,2,730375.5883896811
42,20,3,662879.7508032911
43,20,4,759993.0733165
44,20,5,573251.3131583619
45,20,6,673859.6112359045
46,20,7,635392.0173567993
47,20,8,526582.2290888707
48,20,9,541550.9626870499
49,20,10,518869.09243101534
50,21,1,732274.6793514811
51,21,2,855002.4371895024
52,21,3,740487.7056245969
53,21,4,639875.452316949
54,21,5,618042.5209049521
55,21,6,596257.9080928714
56,21,7,496102.59180241363
57,21,8,550007.2987039572
58,21,9,633170.3367031802
59,21,10,610493.2259881023
60,22,1,757140.1205219879
61,22,2,738094.235935977
62,22,3,726025.9703277498
63,22,4,724634.6163554257
64,22,5,855002.4371895024
65,22,6,855002.4371895024
66,22,7,543302.0991587893
67,22,8,503876.01353322115
68,22,9,625130.1651115147
69,22,10,506020.49082535075
70,23,1,855002.4371895024
71,23,2,590168.5708149888
72,23,3,526043.891397142
73,23,4,632165.9690500123
74,23,5,526712.7715731488
75,23,6,569288.2939386154
76,23,7,712069.9281115903
77,23,8,784795.8649463836
78,23,9,591180.9500015037
79,23,10,659630.2854497862
80,24,1,855002.4371895024
81,24,2,710193.1600078738
82,24,3,855002.4371895024
83,24,4,608482.0095445389
84,24,5,566689.1786816722
85,24,6,582265.2240783381
86,24,7,785013.5796585341
87,24,8,660444.8753951335
88,24,9,620911.9574408797
89,24,10,817048.1643693236
90,25,1,727692.0859144817
91,25,2,707578.9598560232
92,25,3,733374.9106171569
93,25,4,552373.9217949909
94,25,5,589495.1817465901
95,25,6,590060.9261082864
96,25,7,678258.8311204916
97,25,8,526061.5519875936
98,25,9,526063.9771318507
99,25,10,550065.6779571783
100,26,1,707667.7905348502
101,26,2,855002.4371895024
102,26,3,725986.6063441655
103,26,4,583867.423453698
104,26,5,678019.8954451424
105,26,6,582936.8888714892
106,26,7,660225.8206395543
107,26,8,518585.71634757315
108,26,9,609320.1630062779
109,26,10,701952.3448038123
110,27,1,855002.4371895024
111,27,2,611433.6688754716
112,27,3,574962.9497691055
113,27,4,616139.6420366974
114,27,5,697839.0841577492
115,27,6,498440.7793453838
116,27,7,509395.55497231876
117,27,8,630710.5730497191
118,27,9,733643.2000647156
119,27,10,603687.5157197277
120,28,1,855002.4371895024
121,28,2,581144.4343088778
122,28,3,855002.4371895024
123,28,4,598408.2490325064
124,28,5,608120.7049497761
125,28,6,498654.00079942745
126,28,7,572718.6126840325
127,28,8,550558.5210312499
128,28,9,661840.6499416978
129,28,10,740079.1216827158
130,29,1,855002.4371895024
131,29,2,713800.0689560003
132,29,3,493143.62407819746
133,29,4,579087.2449063692
134,29,5,509544.4265090968
135,29,6,558220.3641683306
136,29,7,795239.8985337277
137,29,8,565637.9595064662
138,29,9,700463.6089130151
139,29,10,597097.5711562806
140,30,1,855002.4371895024
141,30,2,573728.5814212436
142,30,3,601603.7823466747
143,30,4,497095.4811703005
144,30,5,495026.04972660454
145,30,6,729277.7996747986
146,30,7,552598.3176950082
147,30,8,593576.2322683296
148,30,9,623050.5364746237
149,30,10,535112.8252993781
